data_arc,full_name,
4243,416195 (2002 TR190),416195
3912,416591 (2004 LC2),416591
4772,416801 (2005 GC120),416801
4015,417211 (2005 XL80),417211
4428,417217 (2005 YS),417217
3164,417419 (2006 KL21),417419
5105,417612 (2006 WQ29),417612
2956,417634 (2006 XG1),417634
6524,417816 (2007 FA),417816
9279,417871 (2007 MB24),417871
3865,417949 (2007 TB23),417949
3511,418094 (2007 WV4),418094
4298,418135 (2008 AG33),418135
3479,418416 (2008 LV16),418416
3322,418849 (2008 WM64),418849
5789,419472 (2010 DW1),419472
1928,419624 (2010 SO16),419624
2769,419880 (2011 AH37),419880
2436,420210 (2011 HF),420210
5531,422686 (2000 AC6),422686
6440,422699 (2000 PD3),422699
7177,422787 (2001 WS1),422787
3794,423321 (2005 ED318),423321
3584,423709 (2006 BQ6),423709
6293,424482 (2008 DG5),424482
5869,425755 (2011 CP4),425755
3089,428209 (2006 VC),428209
2242,429094 (2009 SG2),429094
2708,429584 (2011 EU29),429584
5618,430440 (2000 OH),430440
4769,430544 (2002 GM2),430544
4053,430804 (2005 AD13),430804
7014,433953 (1997 XR2),433953
5608,434096 (2002 GO5),434096
5512,434188 (2003 AD23),434188
4407,434196 (2003 HG2),434196
4035,434326 (2004 JG6),434326
3625,434633 (2005 WB1),434633
3997,434677 (2006 BZ7),434677
4262,434734 (2006 FX),434734
2901,435159 (2007 LQ19),435159
2451,435548 (2008 QT3),435548
1983,436329 (2010 GX62),436329
4956,436671 (2011 SV71),436671
2178,436724 (2011 UW158),436724
2274,436774 (2012 KY3),436774
7413,437841 (1998 HD14),437841
5837,437844 (1999 MN),437844
4930,437905 (2001 XU30),437905
3780,438105 (2005 GO22),438105
2970,438661 (2008 EP6),438661
2012,438908 (2009 XO),438908
2478,438955 (2010 LN14),438955
2105,439313 (2012 VE82),439313
1405,439437 (2013 NK4),439437
5708,439877 (1999 XM141),439877
5447,440212 (2004 OB),440212
3547,441641 (2008 WZ13),441641
2942,441987 (2010 NY65),441987
1915,442037 (2010 PR66),442037
1913,442523 (2011 WU95),442523
1574,443103 (2013 WT67),443103
6379,443806 (1998 FL3),443806
5210,443880 (2001 UZ16),443880
4265,444004 (2004 AS1),444004
4650,444193 (2005 SE71),444193
4050,444584 (2006 UK),444584
2237,445305 (2010 DM56),445305
1023,445974 (2013 BJ18),445974
7080,446791 (1998 SJ70),446791
5251,446862 (2001 VB76),446862
3308,447755 (2007 JX2),447755
3398,448003 (2008 DE),448003
1725,448721 (2011 BN24),448721
6263,450142 (1998 XN2),450142
4456,450263 (2003 WD158),450263
5333,450270 (2004 AE),450270
4210,450293 (2004 LV3),450293
4832,450300 (2004 QD14),450300
23171,450894 (2008 BT18),450894
3301,451003 (2008 UD1),451003
2394,451124 (2009 KC3),451124
2474,451157 (2009 SQ104),451157
1858,451297 (2010 TK54),451297
1769,451370 (2011 AK5),451370
7307,452302 (1995 YR1),452302
5195,452376 (2002 AC5),452376
3745,452807 (2006 KV89),452807
2236,453563 (2010 BB),453563
1803,453707 (2010 XY72),453707
3123,453729 (2011 BO24),453729
1682,453778 (2011 JK),453778
1458,454094 (2013 BZ45),454094
1906,454100 (2013 BO73),454100
4645,454101 (2013 BP73),454101
8046,455148 (1994 UG),455148
5937,455176 (1999 VF22),455176
5858,455184 (2000 ED14),455184
5345,455299 (2002 EL6),455299
4098,455687 (2005 EK94),455687
2959,456938 (2007 YV56),456938
2584,457662 (2009 DZ),457662
5898,457768 (2009 KN4),457768
2852,458116 (2010 DA),458116
7017,458122 (2010 EW45),458122
1850,458418 (2011 AM12),458418
1925,458436 (2011 AL52),458436
1936,458723 (2011 KQ12),458723
955,459683 (2013 MY5),459683
3721,461852 (2006 GY2),461852
2945,462238 (2008 CN1),462238
3024,462550 (2009 CB3),462550
2108,462959 (2011 DU),462959
1952,463387 (2013 CT82),463387
5219,465617 (2009 EK1),465617
3936,465633 (2009 JR5),465633
2235,465824 (2010 FR),465824
2781,465892 (2010 UT7),465892
1466,466130 (2012 FZ23),466130
5683,466508 (2014 GY48),466508
8196,467309 (1996 AW1),467309
5753,467317 (2000 QW7),467317
5148,467336 (2002 LT38),467336
4765,467351 (2003 KO2),467351
4027,467460 (2006 JF42),467460
1275,468005 (2012 XD112),468005
4379,468468 (2004 KH17),468468
2215,468727 (2010 JE87),468727
5806,468910 (2014 KQ76),468910
5133,469445 (2002 LT24),469445
3886,469896 (2005 WC1),469896
4040,470310 (2007 LB15),470310
3519,471240 (2011 BT15),471240
2104,471241 (2011 BX18),471241
1886,471323 (2011 KW15),471323
1195,471926 (2013 KN6),471926
13913,474158 (1999 FA),474158
6333,474163 (1999 SO5),474163
5872,474231 (2001 HZ7),474231
4023,475534 (2006 TS7),475534
2893,476601 (2008 SE85),476601
2775,477162 (2009 ES),477162
5850,477465 (2009 XZ1),477465
5270,477519 (2010 DJ56),477519
2137,478574 (2012 TS78),478574
8033,480808 (1994 XL1),480808
6590,480820 (1998 VF32),480820
7063,480822 (1998 YM4),480822
5877,480858 (2001 PT9),480858
5498,480883 (2001 YE4),480883
4889,480936 (2003 QH5),480936
4037,481327 (2006 BB27),481327
4356,481394 (2006 SF6),481394
3689,481457 (2006 XD2),481457
3620,481482 (2007 CA19),481482
5644,481532 (2007 LE),481532
3441,481817 (2008 UL90),481817
2162,482250 (2011 LL2),482250
1946,482344 (2011 WL15),482344
1692,482467 (2012 LK9),482467
1500,482488 (2012 SW20),482488
1657,482650 (2013 BK18),482650
